[0.8238719086780185, 0.04931116582516015, 'Sensor 9']
[0.15576973789778992, 0.6297780987447817, 'Sensor 18']
[0.7943869465654014, 0.15376194308566338, 'Sensor 25']
[0.7812076457183934, 2, 'Sensor 31']
[0.5180524249825703, 0.623612274966852, 'Sensor 1']
[0.5180524249825703, 0.623612274966852, 'Sensor 1']
[0.5180524249825703, 0.623612274966852, 'Sensor 1']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.6549662835305952, 0.9051409580477555, 'Sensor 2']
[0.9599283220612532, 0.8811705399082544, 'Sensor 3']
[0.9599283220612532, 0.8811705399082544, 'Sensor 3']
[0.9599283220612532, 0.8811705399082544, 'Sensor 3']
[0.9599283220612532, 0.8811705399082544, 'Sensor 3']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.7181363097032464, 0.18291957600726894, 'Sensor 4']
[0.6951719985081678, 0.35132492924502434, 'Sensor 5']
[0.6951719985081678, 0.35132492924502434, 'Sensor 5']
[0.6951719985081678, 0.35132492924502434, 'Sensor 5']
[0.938604308051384, 0.8779604436859918, 'Sensor 6']
[0.938604308051384, 0.8779604436859918, 'Sensor 6']
[0.938604308051384, 0.8779604436859918, 'Sensor 6']
[0.938604308051384, 0.8779604436859918, 'Sensor 6']
[0.5638082751374098, 2, 'Sensor 7']
[0.5638082751374098, 2, 'Sensor 7']
[0.5638082751374098, 2, 'Sensor 7']
[0.5638082751374098, 2, 'Sensor 7']
[0.5638082751374098, 2, 'Sensor 7']
[0.5638082751374098, 2, 'Sensor 7']
[0.11503488320803323, 0.67508586874029, 'Sensor 8']
[0.11503488320803323, 0.67508586874029, 'Sensor 8']
[0.11503488320803323, 0.67508586874029, 'Sensor 8']
[0.11503488320803323, 0.67508586874029, 'Sensor 8']
[0.46544043750821584, 2, 'Sensor 9']
[0.46544043750821584, 2, 'Sensor 9']
[0.46544043750821584, 2, 'Sensor 9']
[0.46544043750821584, 2, 'Sensor 9']
[0.46544043750821584, 2, 'Sensor 9']
[0.46544043750821584, 2, 'Sensor 9']
[0.950145719005394, 2, 'Sensor 10']
[0.950145719005394, 2, 'Sensor 10']
[0.950145719005394, 2, 'Sensor 10']
[0.950145719005394, 2, 'Sensor 10']
[0.950145719005394, 2, 'Sensor 10']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.46339489082571983, 2, 'Sensor 11']
[0.9758982474074763, 0.7500095570636263, 'Sensor 12']
[0.9758982474074763, 0.7500095570636263, 'Sensor 12']
[0.9758982474074763, 0.7500095570636263, 'Sensor 12']
[0.31994085067151834, 0.6764176639498349, 'Sensor 13']
[0.31994085067151834, 0.6764176639498349, 'Sensor 13']
[0.31994085067151834, 0.6764176639498349, 'Sensor 13']
[0.31994085067151834, 0.6764176639498349, 'Sensor 13']
[0.888037827408101, 2, 'Sensor 14']
[0.888037827408101, 2, 'Sensor 14']
[0.888037827408101, 2, 'Sensor 14']
[0.888037827408101, 2, 'Sensor 14']
[0.888037827408101, 2, 'Sensor 14']
[0.888037827408101, 2, 'Sensor 14']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.9794300990823355, 0.16522205863843076, 'Sensor 15']
[0.47931601187954853, 2, 'Sensor 16']
[0.47931601187954853, 2, 'Sensor 16']
[0.786909027169964, 2, 'Sensor 17']
[0.786909027169964, 2, 'Sensor 17']
[0.786909027169964, 2, 'Sensor 17']
[0.786909027169964, 2, 'Sensor 17']
[0.786909027169964, 2, 'Sensor 17']
[0.6829129889331884, 0.7729827650566002, 'Sensor 18']
[0.6829129889331884, 0.7729827650566002, 'Sensor 18']
[0.6829129889331884, 0.7729827650566002, 'Sensor 18']
[0.2642674781523653, 0.1793195746329106, 'Sensor 19']
[0.2642674781523653, 0.1793195746329106, 'Sensor 19']
[0.2642674781523653, 0.1793195746329106, 'Sensor 19']
[0.2642674781523653, 0.1793195746329106, 'Sensor 19']
[0.32558127974373685, 2, 'Sensor 20']
[0.32558127974373685, 2, 'Sensor 20']
[0.32558127974373685, 2, 'Sensor 20']
[0.32558127974373685, 2, 'Sensor 20']
[0.8558554960243114, 0.008832464224052816, 'Sensor 21']
[0.8558554960243114, 0.008832464224052816, 'Sensor 21']
[0.8558554960243114, 0.008832464224052816, 'Sensor 21']
[0.8558554960243114, 0.008832464224052816, 'Sensor 21']
[0.7387434183718836, 0.7975449419022568, 'Sensor 22']
[0.7387434183718836, 0.7975449419022568, 'Sensor 22']
[0.9306136918921724, 0.05828051665769507, 'Sensor 23']
[0.9306136918921724, 0.05828051665769507, 'Sensor 23']
[0.9306136918921724, 0.05828051665769507, 'Sensor 23']
[0.9306136918921724, 0.05828051665769507, 'Sensor 23']
[0.916114900629606, 2, 'Sensor 24']
[0.916114900629606, 2, 'Sensor 24']
